"","hh_id","plot_id","variable","value"
"140",826953,957137,"collection_date","02-Jun-18"
"141",473173,576343,"collection_date","02-Jun-18"
"142",721580,482729,"collection_date","02-Jun-18"
"143",867923,159138,"collection_date","02-Jun-18"
"144",538237,134571,"collection_date","02-Jun-18"
"145",647504,966638,"collection_date","02-Jun-18"
"146",813335,201232,"collection_date","02-Jun-18"
"147",115557,846290,"collection_date","02-Jun-18"
"148",796113,283853,"collection_date","02-Jun-18"
"149",564744,139017,"collection_date","02-Jun-18"
"150",227357,748262,"collection_date","02-Jun-18"
"151",734484,907804,"collection_date","02-Jun-18"
"152",702788,522123,"collection_date","02-Jun-18"
"153",762536,889186,"collection_date","02-Jun-18"
"154",882982,520492,"collection_date","02-Jun-18"
"155",452171,440959,"collection_date","02-Jun-18"
"156",620450,830686,"collection_date","02-Jun-18"
"157",667003,412718,"collection_date","02-Jun-18"
"158",902117,237739,"collection_date","02-Jun-18"
"159",773214,651807,"collection_date","02-Jun-18"
"160",471328,273295,"collection_date","02-Jun-18"
"161",750133,146913,"collection_date","02-Jun-18"
"162",701154,110013,"collection_date","02-Jun-18"
"163",385723,763854,"collection_date","02-Jun-18"
"164",307059,888688,"collection_date","02-Jun-18"
"165",334008,789673,"collection_date","02-Jun-18"
"166",357663,439566,"collection_date","02-Jun-18"
"167",681688,629476,"collection_date","02-Jun-18"
"168",219545,656972,"collection_date","02-Jun-18"
"169",793058,841784,"collection_date","02-Jun-18"
"170",832209,846777,"collection_date","02-Jun-18"
"171",759559,410991,"collection_date","02-Jun-18"
"172",800438,771189,"collection_date","02-Jun-18"
"173",930250,398270,"collection_date","02-Jun-18"
"174",714398,358854,"collection_date","02-Jun-18"
"175",577650,795510,"collection_date","02-Jun-18"
"176",503465,775525,"collection_date","02-Jun-18"
"177",173462,703375,"collection_date","02-Jun-18"
"178",215713,192639,"collection_date","02-Jun-18"
"179",239918,112249,"collection_date","02-Jun-18"
"180",624190,112896,"collection_date","02-Jun-18"
"181",295648,492918,"collection_date","02-Jun-18"
"182",961194,426427,"collection_date","02-Jun-18"
"183",789214,580572,"collection_date","02-Jun-18"
"184",718249,975521,"collection_date","03-Jun-18"
"185",778690,122366,"collection_date","03-Jun-18"
"186",870820,821738,"collection_date","03-Jun-18"
"187",398394,483160,"collection_date","03-Jun-18"
"188",388409,906229,"collection_date","03-Jun-18"
"189",803899,769538,"collection_date","03-Jun-18"
"190",159973,554099,"collection_date","03-Jun-18"
"191",917037,147886,"collection_date","03-Jun-18"
"192",334040,474558,"collection_date","03-Jun-18"
"193",833532,588274,"collection_date","03-Jun-18"
"194",202597,375443,"collection_date","03-Jun-18"
"195",740269,340041,"collection_date","03-Jun-18"
"196",959904,516814,"collection_date","03-Jun-18"
"197",888358,221712,"collection_date","03-Jun-18"
"198",602080,924963,"collection_date","03-Jun-18"
"199",308164,805569,"collection_date","03-Jun-18"
"200",521262,451260,"collection_date","03-Jun-18"
"201",246405,590805,"collection_date","03-Jun-18"
"202",582086,509266,"collection_date","03-Jun-18"
"203",879514,950565,"collection_date","03-Jun-18"
"204",835801,527680,"collection_date","03-Jun-18"
"205",533736,354093,"collection_date","03-Jun-18"
"206",479018,544587,"collection_date","03-Jun-18"
"207",551472,895070,"collection_date","03-Jun-18"
"208",648468,346182,"collection_date","03-Jun-18"
"209",321496,768168,"collection_date","04-Jun-18"
"210",610960,489407,"collection_date","04-Jun-18"
"211",245987,786315,"collection_date","04-Jun-18"
"212",699189,792449,"collection_date","04-Jun-18"
"213",252503,573015,"collection_date","04-Jun-18"
"214",621311,269581,"collection_date","04-Jun-18"
"215",351266,975502,"collection_date","04-Jun-18"
"216",265690,829659,"collection_date","04-Jun-18"
"217",176617,215443,"collection_date","04-Jun-18"
"218",115530,947820,"collection_date","04-Jun-18"
"219",565308,884907,"collection_date","04-Jun-18"
"220",885952,347998,"collection_date","04-Jun-18"
"221",401823,848767,"collection_date","04-Jun-18"
"222",949930,207591,"collection_date","04-Jun-18"
"223",617384,955721,"collection_date","04-Jun-18"
"224",935466,165671,"collection_date","04-Jun-18"
"225",476136,680322,"collection_date","04-Jun-18"
"226",823917,133599,"collection_date","04-Jun-18"
"227",619783,939803,"collection_date","04-Jun-18"
"228",694509,499472,"collection_date","04-Jun-18"
"229",776353,253209,"collection_date","04-Jun-18"
"230",727008,772446,"collection_date","04-Jun-18"
"231",609182,243868,"collection_date","04-Jun-18"
"232",685605,588029,"collection_date","04-Jun-18"
"233",390900,545699,"collection_date","04-Jun-18"
"234",379245,661376,"collection_date","04-Jun-18"
"235",567315,593520,"collection_date","04-Jun-18"
"236",746885,260554,"collection_date","04-Jun-18"
"237",965667,342104,"collection_date","04-Jun-18"
"238",235606,857781,"collection_date","04-Jun-18"
"239",590962,156704,"collection_date","04-Jun-18"
"240",486989,728820,"collection_date","04-Jun-18"
"241",713233,263889,"collection_date","04-Jun-18"
"242",731121,474852,"collection_date","04-Jun-18"
"243",296689,691518,"collection_date","04-Jun-18"
"244",582115,399070,"collection_date","04-Jun-18"
"245",362878,563825,"collection_date","04-Jun-18"
"246",479401,793962,"collection_date","04-Jun-18"
"247",558728,800111,"collection_date","04-Jun-18"
"248",936015,777080,"collection_date","04-Jun-18"
"249",586558,654923,"collection_date","04-Jun-18"
"250",816080,811049,"collection_date","04-Jun-18"
"251",544187,815038,"collection_date","04-Jun-18"
"252",185545,129083,"collection_date","04-Jun-18"
"253",914453,167155,"collection_date","04-Jun-18"
"254",774852,364766,"collection_date","04-Jun-18"
"255",158598,137767,"collection_date","04-Jun-18"
"256",791524,137331,"collection_date","04-Jun-18"
"257",346869,220940,"collection_date","04-Jun-18"
"258",661549,599481,"collection_date","04-Jun-18"
"259",554128,664369,"collection_date","04-Jun-18"
"260",657746,814666,"collection_date","04-Jun-18"
