"","hh_id","plot_id","variable","value"
"168",219545,656972,"name","xxxxx"
"169",793058,841784,"name","xxxxx"
"170",832209,846777,"name","xxxxx"
"171",759559,410991,"name","xxxxx"
"172",800438,771189,"name","xxxxx"
"173",930250,398270,"name","xxxxx"
"174",714398,358854,"name","xxxxx"
"175",577650,795510,"name","xxxxx"
"176",503465,775525,"name","xxxxx"
"177",173462,703375,"name","xxxxx"
"178",215713,192639,"name","xxxxx"
"179",239918,112249,"name","xxxxx"
"180",624190,112896,"name","xxxxx"
"181",295648,492918,"name","xxxxx"
"182",961194,426427,"name","xxxxx"
"183",789214,580572,"name","xxxxx"
"184",718249,975521,"name","xxxxx"
"185",778690,122366,"name","xxxxx"
"186",870820,821738,"name","xxxxx"
"187",398394,483160,"name","xxxxx"
"188",388409,906229,"name","xxxxx"
"189",803899,769538,"name","xxxxx"
"190",159973,554099,"name","xxxxx"
"191",917037,147886,"name","xxxxx"
"192",334040,474558,"name","xxxxx"
"193",833532,588274,"name","xxxxx"
"194",202597,375443,"name","xxxxx"
"195",740269,340041,"name","xxxxx"
"196",959904,516814,"name","xxxxx"
"197",888358,221712,"name","xxxxx"
"198",602080,924963,"name","xxxxx"
"199",308164,805569,"name","xxxxx"
"200",521262,451260,"name","xxxxx"
"201",246405,590805,"name","xxxxx"
"202",582086,509266,"name","xxxxx"
"203",879514,950565,"name","xxxxx"
"204",835801,527680,"name","xxxxx"
"205",533736,354093,"name","xxxxx"
"206",479018,544587,"name","xxxxx"
"207",551472,895070,"name","xxxxx"
"208",648468,346182,"name","xxxxx"
"209",321496,768168,"name","xxxxx"
"210",610960,489407,"name","xxxxx"
"211",245987,786315,"name","xxxxx"
"212",699189,792449,"name","xxxxx"
"213",252503,573015,"name","xxxxx"
"214",621311,269581,"name","xxxxx"
"215",351266,975502,"name","xxxxx"
"216",265690,829659,"name","xxxxx"
"217",176617,215443,"name","xxxxx"
"218",115530,947820,"name","xxxxx"
"219",565308,884907,"name","xxxxx"
"220",885952,347998,"name","xxxxx"
"221",401823,848767,"name","xxxxx"
"222",949930,207591,"name","xxxxx"
"223",617384,955721,"name","xxxxx"
"224",935466,165671,"name","xxxxx"
"225",476136,680322,"name","xxxxx"
"226",823917,133599,"name","xxxxx"
"227",619783,939803,"name","xxxxx"
"228",694509,499472,"name","xxxxx"
"229",776353,253209,"name","xxxxx"
"230",727008,772446,"name","xxxxx"
"231",609182,243868,"name","xxxxx"
"232",685605,588029,"name","xxxxx"
"233",390900,545699,"name","xxxxx"
"234",379245,661376,"name","xxxxx"
"235",567315,593520,"name","xxxxx"
"236",746885,260554,"name","xxxxx"
"237",965667,342104,"name","xxxxx"
"238",235606,857781,"name","xxxxx"
"239",590962,156704,"name","xxxxx"
"240",486989,728820,"name","xxxxx"
"241",713233,263889,"name","xxxxx"
"242",731121,474852,"name","xxxxx"
"243",296689,691518,"name","xxxxx"
"244",582115,399070,"name","xxxxx"
"245",362878,563825,"name","xxxxx"
"246",479401,793962,"name","xxxxx"
"247",558728,800111,"name","xxxxx"
"248",936015,777080,"name","xxxxx"
"249",586558,654923,"name","xxxxx"
"250",816080,811049,"name","xxxxx"
"251",544187,815038,"name","xxxxx"
"252",185545,129083,"name","xxxxx"
"253",914453,167155,"name","xxxxx"
