"","hh_id","plot_id","fertilizer","application_time","application_amount"
"227",619783,939803,"urea",0,12
"228",694509,499472,"urea",0,10
"230",727008,772446,"urea",0,4
"231",609182,243868,"urea",0,6
"232",685605,588029,"urea",0,20
"233",390900,545699,"urea",0,30
"234",379245,661376,"urea",0,7.5
"235",567315,593520,"urea",0,5
"236",746885,260554,"urea",0,9
"237",965667,342104,"urea",0,6
"238",235606,857781,"urea",0,15
"240",486989,728820,"urea",0,22.5
"241",713233,263889,"urea",0,25
"242",731121,474852,"urea",0,20
"243",296689,691518,"urea",0,20
"244",582115,399070,"urea",0,15
"245",362878,563825,"urea",0,22
"246",479401,793962,"urea",0,6
"247",558728,800111,"urea",0,30
"248",936015,777080,"urea",0,12
"249",586558,654923,"urea",0,10
"250",816080,811049,"urea",0,10
"251",544187,815038,"urea",0,5
"252",185545,129083,"urea",0,10
"253",914453,167155,"urea",0,20
"255",158598,137767,"urea",0,40
"259",554128,664369,"urea",0,10
"262",373402,148027,"urea",0,20
"263",183960,875439,"urea",0,120
"264",332354,856179,"urea",0,50
"265",911050,468715,"urea",0,40
"266",890396,633631,"urea",0,20
"267",612849,526626,"urea",0,80
"268",456150,797939,"urea",0,25
"269",924786,713014,"urea",0,20
"270",164032,663895,"urea",0,75
"271",427880,608842,"urea",0,50
"272",498734,425517,"urea",0,0
"273",542547,668893,"urea",0,48
"274",734366,994508,"urea",0,60
"275",247932,598453,"urea",0,20
"276",235807,662130,"urea",0,25
"277",944272,938882,"urea",0,45
"278",898963,589196,"urea",0,12.5
"280",324083,758738,"urea",0,25
"281",390055,297969,"urea",0,20
"282",798303,428208,"urea",0,6
"283",870741,205054,"urea",0,20
"284",273739,903451,"urea",0,18
"285",285712,208690,"urea",0,10
"286",676857,127153,"urea",0,20
"287",481052,638147,"urea",0,12
"288",187175,279274,"urea",0,24
"290",530170,407144,"urea",0,14
"293",236412,180627,"urea",0,50
"294",852450,105493,"urea",0,44
"295",882159,835958,"urea",0,20
"296",329062,354382,"urea",0,20
"297",617909,804177,"urea",0,120
"298",276763,567681,"urea",0,30
"299",612045,609686,"urea",0,10
"300",122992,781120,"urea",0,10
"301",168287,880676,"urea",0,6
"302",385928,737588,"urea",0,3
"303",828469,329536,"urea",0,7
"304",114621,552562,"urea",0,24
"305",351267,693064,"urea",0,30
"306",283979,143647,"urea",0,15
"307",578842,345733,"urea",0,70
"308",383191,453696,"urea",0,11
"309",447917,396948,"urea",0,60
"310",188097,968342,"urea",0,23
"311",164003,431548,"urea",0,45
"312",792928,652935,"urea",0,52.5
"313",263208,849954,"urea",0,28
"314",411180,724225,"urea",0,15
"315",478446,514726,"urea",0,32
"316",936328,756367,"urea",0,18
"317",789437,698349,"urea",0,20
"318",423781,885895,"urea",0,13
"319",955373,265076,"urea",0,40
"320",439330,884476,"urea",0,20
"321",925298,497237,"urea",0,10
"322",635517,711429,"urea",0,17
"323",228206,506631,"urea",0,12
"324",272224,837365,"urea",0,9
"325",614468,143876,"urea",0,14
"326",369022,834375,"urea",0,10
"327",111957,916232,"urea",0,15
"328",277150,856443,"urea",0,15
"329",308052,648320,"urea",0,40
"331",749538,483614,"urea",0,32
"338",788670,280142,"urea",0,60
"339",281100,253164,"urea",0,20
"340",192538,453661,"urea",0,25
"341",688999,377940,"urea",0,30
"342",846362,730096,"urea",0,10
"343",521634,621879,"urea",0,20
"344",996215,579203,"urea",0,20
"346",783040,939415,"urea",0,9
"347",639089,233828,"urea",0,30
"348",319449,913968,"urea",0,40
"349",469177,610951,"urea",0,20
"350",784312,168305,"urea",0,6
"351",494083,229095,"urea",0,9
"352",930922,316036,"urea",0,13.5
"353",545189,276728,"urea",0,50
"354",754331,611091,"urea",0,15
"355",897656,284680,"urea",0,15
"356",417198,987867,"urea",0,28
"357",409426,477402,"urea",0,24
"358",797237,540502,"urea",0,18
"359",748567,690579,"urea",0,30
"360",681285,958977,"urea",0,10
"361",840538,252420,"urea",0,24
"362",150799,165621,"urea",0,22
"363",282244,551286,"urea",0,50
"364",968012,487813,"urea",0,24
"365",197165,860272,"urea",0,20
"366",168363,602765,"urea",0,15
"367",919185,248458,"urea",0,15
"368",469327,315360,"urea",0,60
"369",829824,127094,"urea",0,20
"370",465211,290712,"urea",0,5
"371",772463,184931,"urea",0,30
"372",920009,848190,"urea",0,20
"373",611694,410757,"urea",0,20
"374",520870,176548,"urea",0,9
"375",628429,212079,"urea",0,6
"376",918959,237456,"urea",0,14
"377",377608,916874,"urea",0,14
"378",516912,723010,"urea",0,10
"379",973714,198288,"urea",0,30
"380",157776,717018,"urea",0,9
"381",415558,607662,"urea",0,10
"382",182433,227883,"urea",0,9
"384",722145,638190,"urea",0,12
"385",247808,605238,"urea",0,20
"386",214089,652401,"urea",0,50
"387",864759,836642,"urea",0,75
"388",422184,404166,"urea",0,66
"389",619929,826939,"urea",0,10
"390",836400,527561,"urea",0,36
"391",509029,323860,"urea",0,15
"392",728844,802802,"urea",0,60
"393",562748,709557,"urea",0,7
"394",458916,332280,"urea",0,7
"395",875830,923060,"urea",0,14
"396",440338,320818,"urea",0,5
"397",653817,594849,"urea",0,7.5
"398",492822,827614,"urea",0,6
"399",736395,519405,"urea",0,6
"400",407822,591652,"urea",0,20
"401",611436,527700,"urea",0,20
"402",570366,821865,"urea",0,5
"403",825226,974524,"urea",0,25
"404",271672,266922,"urea",0,15
"407",506910,655080,"urea",0,10
"408",639882,178550,"urea",0,30
"409",181988,752240,"urea",0,14
"410",509858,344571,"urea",0,150
"411",102347,194919,"urea",0,40
"412",560776,572147,"urea",0,60
"413",547403,953781,"urea",0,80
"414",343704,852258,"urea",0,28
"416",211239,761438,"urea",0,18
"417",776136,202439,"urea",0,6.5
"419",615967,902078,"urea",0,30
"420",261491,310012,"urea",0,12
"421",930833,310331,"urea",0,50
"423",278071,539570,"urea",0,10
"424",681511,211719,"urea",0,5
"426",339735,844762,"urea",0,60
"427",557597,182406,"urea",0,72
"428",465491,533741,"urea",0,12
"430",484653,261112,"urea",0,88
"431",806835,639107,"urea",0,15
"432",137928,238303,"urea",0,7.5
"433",983069,898600,"urea",0,25
"439",612794,498758,"urea",0,25
"440",692251,412705,"urea",0,25
"441",675370,607847,"urea",0,46
"442",792645,574538,"urea",0,50
"443",654327,988389,"urea",0,75
"445",668195,510050,"urea",0,50
"446",579667,465495,"urea",0,50
"447",610142,795552,"urea",0,20
"448",934837,596586,"urea",0,45
"449",632295,808348,"urea",0,0
"450",843829,632153,"urea",0,20
"451",729890,656087,"urea",0,21
"452",211609,607077,"urea",0,9
"453",544824,885602,"urea",0,100
"457",461857,770553,"urea",0,20
"461",614716,952067,"urea",0,10
"462",968627,863979,"urea",0,13
"464",686050,430420,"urea",0,4
"465",637516,792559,"urea",0,17
"466",145576,830186,"urea",0,30
"467",564506,301708,"urea",0,10
"470",220026,815135,"urea",0,7
"471",249876,582564,"urea",0,32
"473",184577,879278,"urea",0,28
"474",859068,256453,"urea",0,25
"475",811487,734073,"urea",0,30
"476",153303,341670,"urea",0,20
"477",807908,763238,"urea",0,10
"478",897877,538293,"urea",0,8
"480",612813,620489,"urea",0,20
"482",533872,316591,"urea",0,5
"483",101199,965152,"urea",0,3
"484",505247,341100,"urea",0,30
"485",713249,959249,"urea",0,12
"487",744803,560227,"urea",0,45
"488",211842,273460,"urea",0,12
"489",114922,151051,"urea",0,60
"490",237143,217901,"urea",0,6
"491",291953,929822,"urea",0,7.5
"492",564179,201785,"urea",0,30
"493",572421,265261,"urea",0,26
"494",935882,296298,"urea",0,20
"495",644380,961359,"urea",0,30
"496",403729,910163,"urea",0,8
"498",333352,651408,"urea",0,6
"499",517538,832553,"urea",0,8
"500",156151,674373,"urea",0,20
"501",630961,512944,"urea",0,16
"505",324238,589085,"urea",0,30
"506",930618,237514,"urea",0,16
"509",902684,484594,"urea",0,18
"510",101740,637353,"urea",0,21
"511",559607,672543,"urea",0,30
"512",579666,164206,"urea",0,24
"513",740557,734161,"urea",0,55
"515",972036,568903,"urea",0,50
"516",744548,962777,"urea",0,100
"518",760116,804260,"urea",0,20
"519",206289,989821,"urea",0,20
"520",523455,341520,"urea",0,7.5
"521",283029,838979,"urea",0,5
"522",263755,151338,"urea",0,20
"523",776429,385576,"urea",0,10
"524",173330,531700,"urea",0,25
"525",905396,317402,"urea",0,20
"526",189525,675173,"urea",0,18
"527",479865,435032,"urea",0,20
"528",326067,310666,"urea",0,10
"529",296825,274097,"urea",0,20
"530",973406,537863,"urea",0,20
"531",371578,719012,"urea",0,35
"532",384175,932203,"urea",0,10
"533",551762,994986,"urea",0,20
"534",618018,203264,"urea",0,36
"545",421293,442679,"urea",0,10
"547",362402,679552,"urea",0,50
"548",735082,941480,"urea",0,10
"549",137642,526520,"urea",0,40
"550",686393,756098,"urea",0,10
"551",815581,621615,"urea",0,8
"552",721230,881832,"urea",0,12
"553",243198,124849,"urea",0,6
"554",548714,865908,"urea",0,10
"555",970476,615842,"urea",0,8
"556",498804,615906,"urea",0,21
"557",411015,236453,"urea",0,50
"558",389247,582777,"urea",0,8
"559",569682,421353,"urea",0,20
"560",245751,990103,"urea",0,24
"562",358290,306477,"urea",0,4.5
"563",489171,743959,"urea",0,15
"564",180306,715695,"urea",0,60
