"","hh_id","plot_id","variable","value"
"168",219545,656972,"ownership","Owned"
"169",793058,841784,"ownership","Owned"
"170",832209,846777,"ownership","Owned"
"171",759559,410991,"ownership","Leased"
"172",800438,771189,"ownership","Owned"
"173",930250,398270,"ownership","Owned"
"174",714398,358854,"ownership","Leased"
"175",577650,795510,"ownership","Owned"
"176",503465,775525,"ownership","Leased"
"177",173462,703375,"ownership","Owned"
"178",215713,192639,"ownership","Owned"
"179",239918,112249,"ownership","Owned"
"180",624190,112896,"ownership","Owned"
"181",295648,492918,"ownership","Owned"
"182",961194,426427,"ownership","Owned"
"183",789214,580572,"ownership","Owned"
"184",718249,975521,"ownership","Owned"
"185",778690,122366,"ownership","Owned"
"186",870820,821738,"ownership","Leased"
"187",398394,483160,"ownership","Owned"
"188",388409,906229,"ownership","Owned"
"189",803899,769538,"ownership","Owned"
"190",159973,554099,"ownership","Owned"
"191",917037,147886,"ownership","FarmedContract"
"192",334040,474558,"ownership","Owned"
"193",833532,588274,"ownership","Owned"
"194",202597,375443,"ownership","Owned"
"195",740269,340041,"ownership","FarmedContract"
"196",959904,516814,"ownership","Owned"
"197",888358,221712,"ownership","Owned"
"198",602080,924963,"ownership","Owned"
"199",308164,805569,"ownership","Owned"
"200",521262,451260,"ownership","Owned"
"201",246405,590805,"ownership","Owned"
"202",582086,509266,"ownership","Owned"
"203",879514,950565,"ownership","Owned"
"204",835801,527680,"ownership","Owned"
"205",533736,354093,"ownership","Owned"
"206",479018,544587,"ownership","Owned"
"207",551472,895070,"ownership","Owned"
"208",648468,346182,"ownership","Owned"
"209",321496,768168,"ownership","Owned"
"210",610960,489407,"ownership","Leased"
"211",245987,786315,"ownership","Leased"
"212",699189,792449,"ownership","Owned"
"213",252503,573015,"ownership","Leased"
"214",621311,269581,"ownership","Leased"
"215",351266,975502,"ownership","Owned"
"216",265690,829659,"ownership","Owned"
"217",176617,215443,"ownership","Owned"
"218",115530,947820,"ownership","Owned"
"219",565308,884907,"ownership","Owned"
"220",885952,347998,"ownership","Owned"
"221",401823,848767,"ownership","Owned"
"222",949930,207591,"ownership","Leased"
"223",617384,955721,"ownership","Owned"
"224",935466,165671,"ownership","Leased"
"225",476136,680322,"ownership","Leased"
"226",823917,133599,"ownership","Owned"
"227",619783,939803,"ownership","Leased"
"228",694509,499472,"ownership","Leased"
"229",776353,253209,"ownership","Leased"
"230",727008,772446,"ownership","Owned"
"231",609182,243868,"ownership","Leased"
"232",685605,588029,"ownership","Leased"
"233",390900,545699,"ownership","Owned"
"234",379245,661376,"ownership","Owned"
"235",567315,593520,"ownership","Owned"
"236",746885,260554,"ownership","Owned"
"237",965667,342104,"ownership","Owned"
"238",235606,857781,"ownership","Owned"
"239",590962,156704,"ownership","Leased"
"240",486989,728820,"ownership","Owned"
"241",713233,263889,"ownership","Owned"
"242",731121,474852,"ownership","Owned"
