"","ID","population_density","wc2.1_30s_elev"
"3349",3349,1149.42590332031,40
"3350",3350,1176.09582519531,37
"3351",3351,4757.4404296875,41
"3352",3352,421.992004394531,168
"3353",3353,1331.30920410156,66
"3354",3354,500.969482421875,106
"3355",3355,747.85302734375,95
"3356",3356,747.85302734375,96
"3357",3357,1618.7490234375,43
"3358",3358,1536.07507324219,49
"3359",3359,763.979919433594,55
"3360",3360,1179.90209960938,80
"3361",3361,1411.07763671875,51
"3362",3362,1199.76013183594,64
"3363",3363,972.274169921875,87
"3364",3364,1651.06555175781,48
"3365",3365,1411.07763671875,52
"3366",3366,1152.53466796875,67
"3367",3367,1288.41967773438,76
"3368",3368,1565.69775390625,54
"3369",3369,1149.42590332031,40
"3370",3370,1618.7490234375,43
"3371",3371,1184.01037597656,39
"3372",3372,2131.70361328125,44
"3373",3373,1343.92724609375,54
"3374",3374,2131.70361328125,49
"3375",3375,2131.70361328125,55
"3376",3376,641.68896484375,44
"3377",3377,916.166015625,56
"3378",3378,1413.9501953125,98
"3379",3379,5301.10888671875,43
"3380",3380,1184.01037597656,41
"3381",3381,1152.53466796875,64
"3382",3382,1411.07763671875,51
"3383",3383,609.067016601562,55
"3384",3384,1294.33581542969,38
"3385",3385,1343.92724609375,51
"3386",3386,972.274169921875,88
"3387",3387,747.85302734375,96
"3388",3388,1536.07507324219,50
"3389",3389,641.68896484375,50
"3390",3390,1152.53466796875,64
"3391",3391,1411.07763671875,51
"3392",3392,1294.33581542969,36
"3393",3393,1294.33581542969,36
"3394",3394,972.274169921875,87
"3395",3395,916.166015625,61
"3396",3396,1301.69482421875,54
"3397",3397,740.812072753906,130
"3398",3398,1152.53466796875,67
"3399",3399,1536.07507324219,48
"3400",3400,1536.07507324219,52
"3401",3401,2131.70361328125,46
"3402",3402,848.346252441406,84
"3403",3403,1406.57702636719,49
"3404",3404,747.85302734375,96
"3405",3405,747.85302734375,96
"3406",3406,916.166015625,56
"3407",3407,1331.30920410156,66
"3408",3408,1536.07507324219,49
"3409",3409,1536.07507324219,49
"3410",3410,1176.09582519531,38
"3411",3411,1301.69482421875,57
"3412",3412,1240.47680664062,77
"3413",3413,1305.96826171875,76
"3414",3414,1305.96826171875,75
"3415",3415,1591.02185058594,60
"3416",3416,1240.47680664062,77
"3417",3417,405.621765136719,321
"3418",3418,1354.46252441406,64
"3419",3419,1349.66491699219,89
"3420",3420,1718.47485351562,90
"3421",3421,1718.47485351562,91
"3422",3422,1718.47485351562,90
"3423",3423,1313.03002929688,86
"3424",3424,1353.65637207031,84
"3425",3425,1062.44799804688,94
"3426",3426,1718.47485351562,90
"3427",3427,853.726806640625,97
"3428",3428,853.726806640625,97
"3429",3429,1664.66052246094,92
"3430",3430,974.344909667969,101
"3431",3431,1102.4111328125,81
"3432",3432,1176.57604980469,59
"3433",3433,1664.66052246094,93
"3434",3434,1664.66052246094,95
"3435",3435,974.344909667969,103
"3436",3436,1398.51965332031,54
"3437",3437,1430.453125,78
"3438",3438,1286.7587890625,78
"3439",3439,1286.7587890625,78
"3440",3440,1038.65710449219,70
"3441",3441,1295.21960449219,87
"3442",3442,1353.65637207031,84
"3443",3443,974.344909667969,103
"3444",3444,1078.50280761719,118
"3445",3445,1354.46252441406,59
"3446",3446,965.134399414062,84
"3447",3447,1045.82055664062,88
"3448",3448,1208.29248046875,124
"3449",3449,1208.29248046875,124
"3450",3450,831.75537109375,103
"3451",3451,575.113220214844,97
"3452",3452,575.113220214844,95
"3453",3453,502.37744140625,106
"3454",3454,1313.03002929688,89
"3455",3455,974.344909667969,101
"3456",3456,1045.82055664062,88
"3457",3457,733.219055175781,89
"3458",3458,974.344909667969,101
"3459",3459,1045.82055664062,91
"3460",3460,2175.31567382812,119
"3461",3461,831.75537109375,104
"3462",3462,1448.15307617188,77
"3463",3463,1426.21984863281,81
"3464",3464,1176.57604980469,59
"3465",3465,1398.51965332031,54
"3466",3466,974.344909667969,100
"3467",3467,831.75537109375,103
"3468",3468,575.113220214844,95
"3469",3469,502.37744140625,106
"3470",3470,1313.03002929688,87
"3471",3471,733.219055175781,90
"3472",3472,1448.15307617188,78
"3473",3473,1286.7587890625,78
"3474",3474,1286.7587890625,78
"3475",3475,498.297424316406,80
"3476",3476,575.113220214844,97
"3477",3477,1354.46252441406,61
"3478",3478,1187.79223632812,66
"3479",3479,1354.46252441406,59
"3480",3480,1954.50805664062,66
"3481",3481,1240.94860839844,76
"3482",3482,1305.96826171875,77
"3483",3483,502.37744140625,107
"3484",3484,1045.82055664062,91
"3485",3485,1242.0634765625,81
"3486",3486,1718.47485351562,90
"3487",3487,1664.66052246094,95
"3488",3488,405.621765136719,270
"3489",3489,1286.7587890625,80
"3490",3490,498.297424316406,81
"3491",3491,540.572326660156,85
